,Kode,Nama Perusahaan,Tipe,Currency
751,IPAC,Era Graharealty Tbk.,Properties & Real Estate,IDR
752,BSBK,Wulandari Bangun Laksana Tbk.,Properties & Real Estate,
753,FORZ,Forza Land Indonesia Tbk.,Properties & Real Estate,IDR
754,WINR,Winner Nusantara Jaya Tbk.,Properties & Real Estate,IDR
755,SWID,Saraswanti Indoland Developmen,Properties & Real Estate,IDR
756,ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate,IDR
757,EMTK,Elang Mahkota Teknologi Tbk.,Technology,IDR
758,KREN,Kresna Graha Investama Tbk.,Technology,IDR
759,LMAS,Limas Indonesia Makmur Tbk,Technology,IDR
760,MLPT,Multipolar Technology Tbk.,Technology,IDR
761,MTDL,Metrodata Electronics Tbk.,Technology,IDR
762,PTSN,Sat Nusapersada Tbk,Technology,USD
763,SKYB,Northcliff Citranusa Indonesia,Technology,IDR
764,KIOS,Kioson Komersial Indonesia Tbk,Technology,IDR
765,MCAS,M Cash Integrasi Tbk.,Technology,IDR
766,NFCX,NFC Indonesia Tbk.,Technology,IDR
767,DIVA,Distribusi Voucher Nusantara T,Technology,IDR
768,LUCK,Sentral Mitra Informatika Tbk.,Technology,IDR
769,ENVY,Envy Technologies Indonesia Tb,Technology,IDR
770,HDIT,Hensel Davest Indonesia Tbk.,Technology,IDR
771,TFAS,Telefast Indonesia Tbk.,Technology,IDR
772,DMMX,Digital Mediatama Maxima Tbk.,Technology,IDR
773,GLVA,Galva Technologies Tbk.,Technology,IDR
774,PGJO,Tourindo Guide Indonesia Tbk.,Technology,IDR
775,CASH,Cashlez Worldwide Indonesia Tb,Technology,IDR
776,TECH,Indosterling Technomedia Tbk.,Technology,IDR
777,WIFI,Solusi Sinergi Digital Tbk.,Technology,IDR
778,DCII,DCI Indonesia Tbk.,Technology,IDR
779,EDGE,Indointernet Tbk.,Technology,IDR
780,ZYRX,Zyrexindo Mandiri Buana Tbk.,Technology,IDR
781,UVCR,Trimegah Karya Pratama Tbk.,Technology,IDR
782,BUKA,Bukalapak.com Tbk.,Technology,IDR
783,RUNS,Global Sukses Solusi Tbk.,Technology,IDR
784,WGSH,Wira Global Solusi Tbk.,Technology,IDR
785,WIRG,WIR ASIA Tbk.,Technology,IDR
786,GOTO,GoTo Gojek Tokopedia Tbk.,Technology,IDR
787,ATIC,Anabatic Technologies Tbk.,Technology,IDR
788,AXIO,Tera Data Indonusa Tbk.,Technology,IDR
789,BELI,Global Digital Niaga Tbk.,Technology,
790,AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic,IDR
791,BIRD,Blue Bird Tbk.,Transportation & Logistic,IDR
792,BLTA,Berlian Laju Tanker Tbk,Transportation & Logistic,USD
793,CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic,IDR
794,GIAA,Garuda Indonesia (Persero) Tbk,Transportation & Logistic,USD
795,LRNA,Eka Sari Lorena Transport Tbk.,Transportation & Logistic,IDR
796,MIRA,Mitra International Resources ,Transportation & Logistic,IDR
797,NELY,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic,IDR
798,SAFE,Steady Safe Tbk,Transportation & Logistic,IDR
799,SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistic,IDR
800,SMDR,Samudera Indonesia  Tbk.,Transportation & Logistic,USD
801,TAXI,Express Transindo Utama Tbk.,Transportation & Logistic,IDR
802,TMAS,Temas Tbk.,Transportation & Logistic,IDR
803,WEHA,WEHA Transportasi Indonesia Tb,Transportation & Logistic,IDR
804,TRUK,Guna Timur Raya Tbk.,Transportation & Logistic,IDR
805,TNCA,Trimuda Nuansa Citra Tbk.,Transportation & Logistic,IDR
806,BPTR,Batavia Prosperindo Trans Tbk.,Transportation & Logistic,IDR
807,SAPX,Satria Antaran Prima Tbk.,Transportation & Logistic,IDR
808,DEAL,Dewata Freightinternational Tb,Transportation & Logistic,IDR
809,JAYA,Armada Berjaya Trans Tbk.,Transportation & Logistic,IDR
810,KJEN,Krida Jaringan Nusantara Tbk.,Transportation & Logistic,IDR
811,PURA,Putra Rajawali Kencana Tbk.,Transportation & Logistic,IDR
812,PPGL,Prima Globalindo Logistik Tbk.,Transportation & Logistic,IDR
813,TRJA,Transkon Jaya Tbk.,Transportation & Logistic,IDR
814,HAIS,Hasnur Internasional Shipping ,Transportation & Logistic,IDR
815,HELI,Jaya Trishindo Tbk.,Transportation & Logistic,IDR
816,ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic,IDR
817,HATM,Habco Trans Maritima Tbk.,Transportation & Logistic,IDR
818,RCCC,Utama Radar Cahaya Tbk.,Transportation & Logistic,IDR
819,ELPI,Pelayaran Nasional Ekalya Purn,Transportation & Logistic,IDR
